admin_id,commodity,grown
AFG.12_1,Dates,0
AFG.12_1,"Fruits, other",1
AFG.12_1,Grapefruit ,0
AFG.12_1,Grapes,1
AFG.12_1,Groundnuts,0
AFG.12_1,"Lemons, Limes ",0
AFG.12_1,Maize ,1
AFG.12_1,Millet ,1
AFG.12_1,Mutton & Goat Meat,1
AFG.12_1,Nuts ,1
AFG.12_1,Oats,0
AFG.12_1,"Oilcrops, Other",1
AFG.12_1,Olives,1
AFG.12_1,Onions,1
AFG.12_1,"Oranges, Mandarines",1
AFG.12_1,Palm Oil,0
AFG.12_1,Peas,0
AFG.12_1,Pepper,0
AFG.12_1,Pigmeat,0
AFG.12_1,Pimento,0
AFG.12_1,Pineapples ,0
AFG.12_1,Plantains,0
AFG.12_1,Potatoes ,1
AFG.12_1,Poultry Meat,1
AFG.12_1,"Pulses, Other ",1
AFG.12_1,Rape and Mustardseed,0
AFG.12_1,Rice ,1
AFG.12_1,"Roots, Other",0
AFG.12_1,Rye ,0
AFG.12_1,Sesame seed,1
AFG.12_1,Sorghum ,0
AFG.12_1,Soyabeans,0
AFG.12_1,"Spices, Other",1
AFG.12_1,Sugar beet,1
AFG.12_1,Sugar cane,1
AFG.12_1,Sunflower seed,0
AFG.12_1,Sweet potatoes,0
AFG.12_1,Tea,0
AFG.12_1,Tomatoes ,0
AFG.12_1,"Vegetables, other",1
AFG.12_1,Wheat ,1
AFG.12_1,Yams,0
AFG.13_1,Apples ,1
AFG.13_1,Bananas,0
AFG.13_1,Barley ,1
AFG.13_1,Beans,0
AFG.13_1,Bovine Meat,1
AFG.13_1,Cassava ,0
AFG.13_1,"Cereals, Other",0
AFG.13_1,"Citrus, Other",0
AFG.13_1,Cloves,0
AFG.13_1,Cocoa Beans ,0
AFG.13_1,Coconuts,0
AFG.13_1,Coffee ,0
AFG.13_1,Dates,0
AFG.13_1,"Fruits, other",1
AFG.13_1,Grapefruit ,0
AFG.13_1,Grapes,1
AFG.13_1,Groundnuts,0
AFG.13_1,"Lemons, Limes ",0
AFG.13_1,Maize ,1
AFG.13_1,Millet ,1
AFG.13_1,Mutton & Goat Meat,1
AFG.13_1,Nuts ,1
AFG.13_1,Oats,0
AFG.13_1,"Oilcrops, Other",0
AFG.13_1,Olives,0
AFG.13_1,Onions,1
AFG.13_1,"Oranges, Mandarines",0
AFG.13_1,Palm Oil,0
AFG.13_1,Peas,0
AFG.13_1,Pepper,0
AFG.13_1,Pigmeat,0
AFG.13_1,Pimento,0
AFG.13_1,Pineapples ,0
AFG.13_1,Plantains,0
AFG.13_1,Potatoes ,1
AFG.13_1,Poultry Meat,1
AFG.13_1,"Pulses, Other ",1
AFG.13_1,Rape and Mustardseed,0
AFG.13_1,Rice ,1
AFG.13_1,"Roots, Other",0
AFG.13_1,Rye ,0
AFG.13_1,Sesame seed,0
AFG.13_1,Sorghum ,0
AFG.13_1,Soyabeans,0
AFG.13_1,"Spices, Other",0
AFG.13_1,Sugar beet,1
AFG.13_1,Sugar cane,0
AFG.13_1,Sunflower seed,0
AFG.13_1,Sweet potatoes,0
AFG.13_1,Tea,0
AFG.13_1,Tomatoes ,0
AFG.13_1,"Vegetables, other",1
AFG.13_1,Wheat ,1
AFG.13_1,Yams,0
AFG.14_1,Apples ,0
AFG.14_1,Bananas,0
AFG.14_1,Barley ,1
AFG.14_1,Beans,0
AFG.14_1,Bovine Meat,1
AFG.14_1,Cassava ,0
AFG.14_1,"Cereals, Other",0
AFG.14_1,"Citrus, Other",0
AFG.14_1,Cloves,0
AFG.14_1,Cocoa Beans ,0
AFG.14_1,Coconuts,0
AFG.14_1,Coffee ,0
AFG.14_1,Dates,0
AFG.14_1,"Fruits, other",0
AFG.14_1,Grapefruit ,0
AFG.14_1,Grapes,0
AFG.14_1,Groundnuts,0
AFG.14_1,"Lemons, Limes ",0
AFG.14_1,Maize ,1
AFG.14_1,Millet ,1
AFG.14_1,Mutton & Goat Meat,1
AFG.14_1,Nuts ,0
AFG.14_1,Oats,0
AFG.14_1,"Oilcrops, Other",0
AFG.14_1,Olives,0
AFG.14_1,Onions,0
AFG.14_1,"Oranges, Mandarines",0
AFG.14_1,Palm Oil,0
AFG.14_1,Peas,0
AFG.14_1,Pepper,0
AFG.14_1,Pigmeat,0
AFG.14_1,Pimento,0
AFG.14_1,Pineapples ,0
AFG.14_1,Plantains,0
AFG.14_1,Potatoes ,1
AFG.14_1,Poultry Meat,1
AFG.14_1,"Pulses, Other ",1
AFG.14_1,Rape and Mustardseed,0
AFG.14_1,Rice ,1
AFG.14_1,"Roots, Other",0
AFG.14_1,Rye ,0
AFG.14_1,Sesame seed,0
AFG.14_1,Sorghum ,0
AFG.14_1,Soyabeans,0
AFG.14_1,"Spices, Other",0
AFG.14_1,Sugar beet,0
